Factor,Level,Not Linear,Invalid,Linear,Row Totals
N,500,0.3828125,0.3515625,0.265625,128.0
N,100,0.5555555555555556,0.25396825396825395,0.19047619047619047,63.0
N,1000,0.515625,0.328125,0.15625,64.0
structure,Random k-out (k=3) #b,0.5789473684210527,0.21052631578947367,0.21052631578947367,19.0
structure,Erdos-Renyi Random #2b,0.15,0.75,0.1,20.0
structure,Scale-Free #2a,0.65,0.25,0.1,20.0
structure,Erdos-Renyi Random #1a,0.3684210526315789,0.42105263157894735,0.21052631578947367,19.0
structure,Scale-Free #1b,0.45,0.25,0.3,20.0
structure,Directed Random Tree (Reversed),0.7,0.0,0.3,20.0
structure,Random k-out (k=10) #a,0.6,0.25,0.15,20.0
structure,Erdos-Renyi Random #2a,0.2,0.75,0.05,20.0
structure,Random k-out (k=3) #a,0.47368421052631576,0.2631578947368421,0.2631578947368421,19.0
structure,Erdos-Renyi Random #1b,0.3157894736842105,0.3157894736842105,0.3684210526315789,19.0
structure,Scale-Free #1a,0.3157894736842105,0.42105263157894735,0.2631578947368421,19.0
structure,Scale-Free #2b,0.65,0.0,0.35,20.0
structure,Random k-out (k=10) #b,0.2,0.6,0.2,10.0
structure,Directed Random Tree,0.8,0.0,0.2,10.0
num_X_vars,3,0.5348837209302325,0.2558139534883721,0.20930232558139536,43.0
num_X_vars,41,0.6,0.0,0.4,5.0
num_X_vars,38,0.25,0.5,0.25,8.0
num_X_vars,24,0.2727272727272727,0.2727272727272727,0.45454545454545453,11.0
num_X_vars,99,0.0,1.0,0.0,10.0
num_X_vars,1,0.7,0.0,0.3,20.0
num_X_vars,6,0.6,0.2,0.2,5.0
num_X_vars,10,0.4666666666666667,0.36666666666666664,0.16666666666666666,30.0
num_X_vars,15,0.5714285714285714,0.2857142857142857,0.14285714285714285,7.0
num_X_vars,49,0.5,0.5,0.0,2.0
num_X_vars,5,0.7407407407407407,0.1111111111111111,0.14814814814814814,27.0
num_X_vars,95,0.1875,0.75,0.0625,16.0
num_X_vars,18,0.5,0.3333333333333333,0.16666666666666666,6.0
num_X_vars,44,0.2857142857142857,0.2857142857142857,0.42857142857142855,7.0
num_X_vars,4,0.5,0.25,0.25,4.0
num_X_vars,7,0.6111111111111112,0.0,0.3888888888888889,18.0
num_X_vars,12,0.3,0.4,0.3,10.0
num_X_vars,98,0.0,1.0,0.0,5.0
num_X_vars,28,0.2,0.6,0.2,5.0
num_X_vars,80,0.16666666666666666,0.3333333333333333,0.5,6.0
num_X_vars,26,0.75,0.25,0.0,4.0
num_X_vars,71,0.25,0.5,0.25,4.0
num_X_vars,100,0.0,1.0,0.0,2.0
g_level,N/4,0.43529411764705883,0.32941176470588235,0.23529411764705882,85.0
g_level,N,0.3488372093023256,0.32558139534883723,0.32558139534883723,43.0
g_level,1,0.627906976744186,0.32558139534883723,0.046511627906976744,43.0
g_level,5,0.4523809523809524,0.30952380952380953,0.23809523809523808,84.0
g_rate,0.25,0.43529411764705883,0.32941176470588235,0.23529411764705882,85.0
g_rate,1,0.3488372093023256,0.32558139534883723,0.32558139534883723,43.0
g_rate,0.01,0.39622641509433965,0.37735849056603776,0.22641509433962265,53.0
g_rate,0.05,0.5454545454545454,0.2727272727272727,0.18181818181818182,22.0
g_rate,0.002,0.47619047619047616,0.42857142857142855,0.09523809523809523,21.0
g_rate,0.001,0.9166666666666666,0.08333333333333333,0.0,12.0
g_rate,0.005,0.5789473684210527,0.21052631578947367,0.21052631578947367,19.0
randomize_update_seq,False,0.4921875,0.296875,0.2109375,128.0
randomize_update_seq,True,0.4251968503937008,0.3464566929133858,0.2283464566929134,127.0
b_distro,U-11,0.5396825396825397,0.36507936507936506,0.09523809523809523,126.0
b_distro,N01,0.47692307692307695,0.38461538461538464,0.13846153846153847,65.0
b_distro,U01,0.28125,0.171875,0.546875,64.0
b_0_is_zero,False,0.484375,0.328125,0.1875,128.0
b_0_is_zero,True,0.4330708661417323,0.31496062992125984,0.25196850393700787,127.0
normalize_bs,network,0.7846153846153846,0.13846153846153847,0.07692307692307693,65.0
normalize_bs,agent,0.31746031746031744,0.36507936507936506,0.31746031746031744,126.0
normalize_bs,no,0.40625,0.421875,0.171875,64.0
error_variance,2.0,0.38461538461538464,0.4,0.2153846153846154,65.0
error_variance,1.0,0.49206349206349204,0.2698412698412698,0.23809523809523808,126.0
error_variance,0.5,0.46875,0.34375,0.1875,64.0
normalize_yis,True,0.6456692913385826,0.12598425196850394,0.2283464566929134,127.0
normalize_yis,False,0.2734375,0.515625,0.2109375,128.0
uninformed_rate,0.0,0.47619047619047616,0.2857142857142857,0.23809523809523808,63.0
uninformed_rate,0.1,0.46875,0.3125,0.21875,128.0
uninformed_rate,0.25,0.421875,0.375,0.203125,64.0
